id,transaction_type,transaction_id,transaction_time,transaction_amount,business_short_code,bill_ref_number,invoice_number,org_account_balance,third_party_tansaaction_id,msisdn,first_name,middle_name,last_name
1253,Pay Bill,07550F6DDC,20250205100412,482,107031,96646,,1719,9ad8953d67b04cd0837ec534e120afc3,2134212610013,Robert,Christina,Lucas
2,Pay Bill,TDE07012MJ,20250414211355,100.00,107031,12345,,1743.00,,94c392c311d522da950619227b3361752a42042db7e1e699b26e628305c68a88,NICHOLAS,,
3,Pay Bill,317A7A22A8,20250123164546,595,107031,10748,,1327,1a28f097c7b4481193c4691452fd52a8,2964225487729,Sonia,Cynthia,Harvey
4,Pay Bill,3B094B113D,20250131221849,85,107031,38482,,4331,f48a3969db7f4250bdfe8d358f602422,7988867534902,John,Alyssa,Warren
5,Pay Bill,FD1E5A06AD,20250110235303,672,107031,13820,,3185,078dfb9d05094bc98172d77375fd28b4,1977556613180,Sarah,William,West
6,Pay Bill,8FD45A6F21,20250126073532,859,107031,72166,,2686,f52b323132794ca1ba95d61d3cb43178,8332720492346,Michael,Mary,Rivera
7,Pay Bill,6FE9C7C080,20250331183707,301,107031,56173,,4618,f5825b05831140e49bcb1952fe8fec86,1180052438495,Hannah,John,Riggs
8,Pay Bill,D0E5D12F67,20250102002420,184,107031,60563,,4678,933e9209aca843e3b0189de12b0a690a,8782682517460,Jason,Kendra,Armstrong
9,Pay Bill,FE808FD0FB,20250318235002,563,107031,12275,,2357,06c12c23907b4490944b18bf22d8d250,9029245834771,Timothy,Dustin,Henry
10,Pay Bill,A1BC9C81B1,20250131142124,156,107031,33295,,4591,a341119d1be0435aa7f0b29fa276b56c,3796219277799,Nicholas,Joseph,Rios
11,Pay Bill,919DE2E552,20250104014933,250,107031,80045,,3288,c28a56777fec4bea932d9c4898a85dbf,6200961763414,Michael,James,Schultz
12,Pay Bill,02B2FBEB33,20250414133822,192,107031,34918,,3752,bf99081437a2473ca9abe49dc526c704,1447024660349,Laurie,Isaiah,Jenkins
13,Pay Bill,80DC5770B8,20250228080602,769,107031,66959,,3592,ada8992225064b2082dc25146cce8428,3511512311007,Robert,David,Bass
14,Pay Bill,DD16FCA2BD,20250216013948,678,107031,49628,,1580,a9dbb5d9e2c54ef6b039364600514dca,8788753758435,Melissa,Catherine,Tucker
15,Pay Bill,D676423A96,20250113075455,32,107031,69663,,1971,70e7d091b23b456b8c153fc8567aff97,4286258264184,Melissa,Crystal,Durham
16,Pay Bill,D8E4F84045,20250202171155,323,107031,89963,,2795,dc2c772e8a2240398a3d6bce73fc6332,3044528152469,Crystal,Gregory,Salazar
17,Pay Bill,2579425616,20250405110503,768,107031,49979,,2777,80a0656bcd8146b0a09a6d655d89f27b,1180052438495,Hannah,John,Riggs
18,Pay Bill,839D52EECF,20250124055008,194,107031,24490,,1400,b86d9e7ae8ee4523942015fe6ec01746,2285977378467,Robert,Jacob,Berry
19,Pay Bill,DC947863FF,20250114171535,794,107031,56669,,4449,251e54279c50496dbd9059eeaa5bfd60,1180052438495,Hannah,John,Riggs
20,Pay Bill,B904531CD0,20250312080704,723,107031,11505,,4538,a26fa737b30847af88f2f07dc4487499,1180052438495,Hannah,John,Riggs
21,Pay Bill,9C9D5477CB,20250406022559,229,107031,57664,,1661,75d9b9728bb54af7accbe126ec5a9e79,8611664637516,Patrick,David,Smith
22,Pay Bill,A63DDBB48E,20250311201556,200,107031,,,2007,c4643a237663401caa0a1f873a820375,3929136684610,Vincent,William,Vincent
23,Buy Goods,8669C0EF72,20250220094649,478,107031,54485,,3532,1440bac9f58749b5b33a2163e953fadc,1573616531545,Michael,,Coleman
24,Pay Bill,EDB8C85135,20250105202655,888,107031,,,3373,b33071f33ecd48d4926c16e245aa4ea9,2869932187643,Justin,,King
25,Buy Goods,05D4892A0D,20250405212727,929,107031,97713,,3399,66a764f8177c47f4b3f5a3ec83d0afb2,6211840185710,Bradley,Jonathan,Macdonald
26,Pay Bill,97C9BF0272,20250215100557,393,107031,80496,,4696,bd5b494bea6e4884a5713859cbd53d3f,0508874168219,Laurie,Bryan,Thompson
27,Pay Bill,F815C8BFBF,20250110193818,752,107031,67863,,2891,dcc1f63c58544830b0ca1a61f7473bd3,4296109667540,Wayne,,Flores
28,Buy Goods,005A290C71,20250314212644,187,107031,62435,,2786,d0643012e63649faa29b006fdcb40857,9960016016079,Danielle,Paul,Cortez
29,Buy Goods,E8FA2436B0,20250207190601,129,107031,,,2476,3f4882f83f4641d3a3759341bef56452,0812994648570,Jason,Rachel,Stone
30,Buy Goods,C3707579F1,20250324185339,832,107031,22538,,2613,c721acb7bf4c4806ae098d7e821b3f8f,1077582217954,Kelsey,Debbie,Garza
31,Buy Goods,C1D5121B27,20250321190743,306,107031,35117,,1465,ba77e54776b94fd8a7f01d0091e4dc2d,9836589732280,Nicole,Gerald,Martinez
32,Buy Goods,FA2D5098C2,20250113204503,740,107031,94165,,4775,0fdca697b15b4c9d84e9951133bbbc52,2869932187643,Justin,,King
33,Pay Bill,EB6EF59CE6,20250320095558,869,107031,24427,,1813,29111cc791ca4978af3f4e964e0125f5,3868315518393,Karen,Roberto,Rangel
34,Pay Bill,705A84559C,20250301104202,48517,107031,21945,,3771,9cb03134ec7940b7b818fc80b662036a,6297569725637,Audrey,Tamara,Hogan
35,Buy Goods,A4FB593F78,20250330100134,73,107031,35229,,2895,5352e029ebb34de0b5d0fd76f525d876,9076294008010,Rebecca,,Carter
36,Buy Goods,045173E7F4,20250113103108,409,107031,58574,,3866,50e1044b59ca433eb60d3c7e3e31d304,9415268880909,Frances,Rhonda,Cunningham
37,Buy Goods,93C31ACC90,20250226102240,723,107031,42367,,1546,65d544e878784d90beefc0b078ac129c,6813004782716,Mandy,James,Johnson
38,Pay Bill,3BEA05E8FB,20250118215010,504,107031,96175,,4706,dc27949c57fe4f5f85be7cb627970d21,0812994648570,Jason,Rachel,Stone
39,Pay Bill,B221B19A28,20250329181451,650,107031,70914,,2098,3db5069cab714114ac3d59d5437d7e85,3868315518393,Karen,Roberto,Rangel
40,Buy Goods,0CB9F3C235,20250112210727,768,107031,12106,,2892,,7265811922018,Lance,Danielle,Haney
41,Pay Bill,C9239121DE,20250331084201,37292,107031,95368,,3450,19d0464259624b63bbca214a1342793d,2059798017379,Emily,Rodney,Kelley
42,Buy Goods,352120B1F0,20250219091906,557,107031,32171,,4527,7df305bc765f4003b80f124021a28f9d,2059798017379,Emily,Rodney,Kelley
43,Pay Bill,67B2538D69,20250214210600,371,107031,92261,,1350,3fd2d17d8aa9462ea7c62acfb04149d2,2869932187643,Justin,,King
44,Pay Bill,66DAAF2A14,20250206205157,71,107031,10075,,3742,7038854d96b3427394cb296e5a4d56f0,2313866143124,Meghan,Rebecca,Wiley
45,Buy Goods,A4BDC2F898,20250313093011,869,107031,18999,,3210,868ba1bd14ba4bf59ff65e7812917750,7631608477839,Kathleen,Erika,Watson
46,Buy Goods,1265739EAC,20250102201709,668,107031,80195,,1806,560d229f10cb4776b81976ad76f0a1f0,6562666434329,Preston,,Chase
47,Buy Goods,55E73AE3F8,20250305211820,412,107031,38008,,4227,4babf4ab48554ba79b0d61eb414602b1,5984473507430,Michael,Eric,Jones
48,Pay Bill,AA9A8822B2,20250114195448,338,107031,40961,,1051,1b79f38db5f14b38bc4be7b4bae43d4f,2966311999853,Tina,,Kelly
49,Pay Bill,0D8074C221,20250116092322,138,107031,46190,,4018,300dfbd45c52401d80e09142bb5d6c06,5415690683784,Craig,,Thompson
50,Pay Bill,1D5D2457B0,20250129092551,883,107031,62505,,1458,d93dac6e5c064a9c8886ff443dee7e21,2059798017379,Emily,Rodney,Kelley
51,Buy Goods,F4D2640DD9,20250107193639,976,107031,12403,,3235,a6c0488188ec41d8985444dbd8f45eaf,2869932187643,Justin,,King
52,Buy Goods,05A65D93B3,20250126103806,841,107031,53487,,3067,84bdb6ed47cd4848ab4fc19f2ba74696,1182838662093,Tammy,,Walker
53,Buy Goods,CDAE180B9B,20250227194026,337,107031,76378,,1940,fcb6f07b480148869fd35ed26bb794b8,2869932187643,Justin,,King
54,Pay Bill,8BB96DA362,20250205104220,569,107031,94099,,1396,4a7d5e692d2246dab686f430de5b3f51,8188162329981,Yvonne,Stephanie,Coleman
55,Pay Bill,90ADB84C48,20250321181304,386,107031,77371,,4736,78f783ccd57248519f15b28716400811,1561008032296,Timothy,,Pierce
56,Buy Goods,8AEFB4FCD0,20250214215226,451,107031,29109,,1713,0a086067f3e54632be6248dc1974daf3,0403030096725,Christopher,Joann,Terry
57,Buy Goods,145E13C421,20250412215634,176,107031,,,2019,7ae5d179e6c8455a980c283cc7e8782b,2869932187643,Justin,,King
58,Pay Bill,57AF9F4334,20250228080642,104,107031,,,1211,c6ea444f288d4e11908917f7673867ea,7675667210139,Rachel,,Jackson
59,Pay Bill,967EBFC1C9,20250223202751,236,107031,85676,,3148,b2b52a234bc145129974347672f1bafe,1676884647310,Benjamin,Jill,Solis
60,Buy Goods,A4947E00B8,20250312102758,22170,107031,80502,,4286,e05104e86e2e46ff9270a74b3fc3dc17,4247366612817,Justin,,Gonzales
61,Buy Goods,475B019B0C,20250201090729,971,107031,90775,,1624,f3fe8b99bfe7461c8bff7e0b36830a34,9960016016079,Danielle,Paul,Cortez
62,Buy Goods,96C76DF79D,20250217102949,269,107031,41553,,4282,a99aa5c89998474fba07801b008d2666,3932473205222,Renee,,Myers
63,Buy Goods,8B992F6CA5,20250209093458,44275,107031,97397,,1357,be1d1cdf58be497d83f11ff9a3601643,3868315518393,Karen,Roberto,Rangel
64,Pay Bill,876E31BB8F,20250102104404,466,107031,,,1194,,6375143848234,Christina,,Scott
65,Pay Bill,D433D3154B,20250223105056,227,107031,95129,,4919,1cd67a1d92a642a188949d607e2f1b36,2059798017379,Emily,Rodney,Kelley
66,Pay Bill,8706173DA9,20250310200412,286,107031,20435,,1568,56d9e679cece44a395d7d4b765bd2476,2137809418486,Stephanie,Dawn,Robinson
67,Pay Bill,5B3658244C,20250106205241,951,107031,88304,,1239,,5730647616446,Daniel,Ryan,Smith
68,Buy Goods,9CE233D6E9,20250122082013,148,107031,29851,,1816,bebdacbf0e1a44c891b2b834597a5b93,2488273606664,Lisa,Melissa,Whitaker
69,Pay Bill,863C4E97C7,20250211085052,553,107031,76865,,4842,eb948ac818754e0fa6200856ca51963b,5670788183756,Paul,David,Snyder
70,Buy Goods,DB56F5B489,20250409093442,394,107031,69540,,2594,f9fe9f9c03d24ceab03ca96eb199db53,0553284543897,Cameron,,Brewer
71,Buy Goods,665134A04A,20250330094451,880,107031,91835,,3278,721947d2252d4a239b982d06f3399552,6211840185710,Bradley,Jonathan,Macdonald
72,Buy Goods,F625BF1E0D,20250407092505,154,107031,88489,,3458,f101647cba394b4f92ec4c5fcfb6ec92,7675667210139,Rachel,,Jackson
73,Buy Goods,E3D3D403A9,20250125213856,265,107031,41125,,4991,468a73d1d6b440659d7695216fa933bc,9960016016079,Danielle,Paul,Cortez
74,Pay Bill,106B594EE1,20250202081454,553,107031,65918,,1715,,2310033593142,Jennifer,Gabrielle,Coleman
75,Pay Bill,BB4227A8AD,20250403094450,623,107031,30462,,3065,2032c53f7d5d4996b6843818cf4e266b,7675667210139,Rachel,,Jackson
76,Pay Bill,35ABC5359C,20250307093024,42081,107031,40369,,2026,dfab6597777e407c9cadd79bda881999,3456816897371,Catherine,Jeffrey,Rose
77,Pay Bill,B9F81DC57F,20250123194926,743,107031,36415,,2701,54bfc0a3dcbf476aa9174137827fef7f,7316175155718,Shelia,Tina,Payne
78,Buy Goods,FB93D26295,20250320093642,621,107031,97984,,3859,d0217e5549504784bda233707d606280,4761581492315,Tiffany,Brian,Ballard
79,Pay Bill,448597597E,20250308191810,163,107031,36122,,3239,1c408c3de3e24c399bf1203d75aa00a8,2170710120869,Keith,,Esparza
80,Buy Goods,A732FB2EDE,20250331105111,729,107031,45426,,2643,b27b67b0ce94460ea2ada2582aff892f,7675667210139,Rachel,,Jackson
81,Buy Goods,38281702D0,20250207104152,516,107031,55674,,1180,8c4625cbe0744cf08626c3ed188debb7,9960016016079,Danielle,Paul,Cortez
82,Pay Bill,52268FE59C,20250130080541,627,107031,42472,,2801,908d36cf697b49dd87214cb147c8fd01,9960016016079,Danielle,Paul,Cortez
83,Pay Bill,78DCE1232F,20250322105801,898,107031,22658,,2590,195e37e122d24e9a9bdaf028629ce41b,5776271649432,Michael,James,Turner
84,Pay Bill,445EEB2670,20250108100826,828,107031,60388,,1844,4869c09f8a40469b90456f0754598458,7606903696036,James,,Castro
85,Buy Goods,2E3450D47A,20250311181513,449,107031,75482,,3568,cfa8ab06d939472a98a11ef12d92b90f,8702425380496,Phillip,,Liu
86,Buy Goods,04013F40E7,20250324185551,382,107031,90850,,4424,0247afe3fae6480ab38dc741b1040c50,9523440425725,Mary,,Fischer
